"ID";"CPA2008";"Perioden";"Prijsindex_1";"Kwartaalmutaties_2";"Jaarmutaties_3"
"8733";"A042112";"2011KW01";"    93.7";"     2.4";"     3.5"
"8734";"A042112";"2011KW02";"    94.9";"     1.3";"     4.7"
"8735";"A042112";"2011KW03";"    95.0";"     0.1";"     5.4"
"8736";"A042112";"2011KW04";"    94.0";"    -1.0";"     2.7"
"8737";"A042112";"2011JJ00";"    94.4";"";"     4.1"
"8738";"A042112";"2012KW01";"    94.6";"     0.6";"     1.0"
"8739";"A042112";"2012KW02";"    96.3";"     1.8";"     1.5"
"8740";"A042112";"2012KW03";"    96.0";"    -0.3";"     1.1"
"8741";"A042112";"2012KW04";"    96.2";"     0.2";"     2.3"
"8742";"A042112";"2012JJ00";"    95.8";"";"     1.5"
"8743";"A042112";"2013KW01";"    97.1";"     0.9";"     2.6"
"8744";"A042112";"2013KW02";"    96.3";"    -0.8";"     0.0"
"8745";"A042112";"2013KW03";"    96.8";"     0.5";"     0.8"
"8746";"A042112";"2013KW04";"    97.7";"     0.9";"     1.5"
"8747";"A042112";"2013JJ00";"    96.9";"";"     1.2"
"8748";"A042112";"2014KW01";"    97.5";"    -0.2";"     0.4"
"8749";"A042112";"2014KW02";"    97.3";"    -0.2";"     1.0"
"8750";"A042112";"2014KW03";"    98.7";"     1.4";"     2.0"
"8751";"A042112";"2014KW04";"    99.9";"     1.3";"     2.3"
"8752";"A042112";"2014JJ00";"    98.3";"";"     1.4"
"8753";"A042112";"2015KW01";"   100.8";"     0.9";"     3.4"
"8754";"A042112";"2015KW02";"   100.2";"    -0.6";"     3.0"
"8755";"A042112";"2015KW03";"    99.0";"    -1.3";"     0.3"
"8756";"A042112";"2015KW04";"   100.0";"     1.0";"     0.1"
"8757";"A042112";"2015JJ00";"   100.0";"";"     1.7"
"8758";"A042112";"2016KW01";"   102.8";"     2.8";"     2.0"
"8759";"A042112";"2016KW02";"   103.5";"     0.7";"     3.3"
"8760";"A042112";"2016KW03";"   102.1";"    -1.4";"     3.1"
"8761";"A042112";"2016KW04";"   101.9";"    -0.1";"     1.9"
"8762";"A042112";"2016JJ00";"   102.6";"";"     2.6"
"8763";"A042112";"2017KW01";"   103.6";"     1.7";"     0.8"
"8764";"A042112";"2017KW02";"   103.6";"     0.0";"     0.1"
"8765";"A042112";"2017KW03";"   103.3";"    -0.3";"     1.2"
"8766";"A042112";"2017KW04";"   103.3";"     0.1";"     1.3"
"8767";"A042112";"2017JJ00";"   103.4";"";"     0.8"
"8768";"A042112";"2018KW01";"   106.4";"     3.0";"     2.7"
"8769";"A042112";"2018KW02";"   108.0";"     1.6";"     4.3"
"8770";"A042112";"2018KW03";"   107.0";"    -1.0";"     3.6"
"8771";"A042112";"2018KW04";"   107.6";"     0.6";"     4.2"
"8772";"A042112";"2018JJ00";"   107.3";"";"     3.7"
"8773";"A042112";"2019KW01";"   111.1";"     3.3";"     4.5"
"8774";"A042112";"2019KW02";"   111.1";"     0.0";"     2.9"
"8775";"A042112";"2019KW03";"   110.8";"    -0.3";"     3.5"
"8776";"A042112";"2019KW04";"   111.3";"     0.5";"     3.4"
"8777";"A042112";"2019JJ00";"   111.1";"";"     3.6"
"8778";"A042112";"2020KW01";"   114.2";"     2.6";"     2.7"
"8779";"A042112";"2020KW02";"   114.2";"     0.0";"     2.7"
"8780";"A042112";"2020KW03";"   113.8";"    -0.3";"     2.7"
"8781";"A042112";"2020KW04";"   113.5";"    -0.3";"     2.0"
